Fri May 13 01:25:00 2022    rainbow.prof

         261175591 function calls (251697514 primitive calls) in 1047.331 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9292    0.003    0.000    0.003    0.000 functions.py:204(__init__)
       80    0.003    0.000    0.133    0.002 compiler.py:498(_compile_with_cache_cuda)
     2184    0.003    0.000    0.006    0.000 inspect.py:653(_findclass)
    24673    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
     1242    0.003    0.000    0.004    0.000 utils.py:222(_is_ascii)
     5189    0.003    0.000    0.035    0.000 re.py:197(search)
     6420    0.003    0.000    0.045    0.000 __init__.py:653(__getitem__)
   724/10    0.003    0.000    1.603    0.160 <frozen importlib._bootstrap>:664(_load_unlocked)
      621    0.003    0.000    0.004    0.000 std.py:1460(format_dict)
     2110    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      720    0.003    0.000    0.019    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     9655    0.002    0.000    0.004    0.000 inspect.py:632(_is_wrapper)
      621    0.002    0.000    0.111    0.000 std.py:1164(__str__)
     3865    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x00007FFBF03A7CD0}
        1    0.002    0.002 1042.564 1042.564 drl_selfmatch.py:120(fit_one_run)
       87    0.002    0.000    2.712    0.031 __init__.py:1(<module>)
    24990    0.002    0.000    0.002    0.000 inspect.py:2678(name)
    11986    0.002    0.000    0.002    0.000 {built-in method builtins.chr}
      573    0.002    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      622    0.002    0.000    0.257    0.000 std.py:1174(__iter__)
   774/10    0.002    0.000    1.605    0.160 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      621    0.002    0.000    0.244    0.000 std.py:1339(refresh)
    19873    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    11925    0.002    0.000    0.004    0.000 _mathtext.py:2469(<genexpr>)
      795    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
      635    0.002    0.000    0.061    0.000 ansitowin32.py:193(write_plain_text)
       51    0.002    0.000    0.004    0.000 {built-in method builtins.eval}
      800    0.002    0.000    0.002    0.000 font_manager.py:1188(score_stretch)
      622    0.002    0.000    0.074    0.000 std.py:342(fp_write)
      622    0.002    0.000    0.236    0.000 std.py:1478(display)
     1864    0.002    0.000    0.113    0.000 utils.py:333(disp_len)
      617    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      101    0.002    0.000    0.007    0.000 artist.py:139(<listcomp>)
     1864    0.002    0.000    0.109    0.000 utils.py:329(_text_width)
      800    0.002    0.000    0.003    0.000 font_manager.py:1130(score_family)
4141/3423    0.002    0.000    0.003    0.000 artist.py:290(stale)
      703    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
    897/1    0.002    0.000 1047.332 1047.332 {built-in method builtins.exec}
     4299    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
      128    0.002    0.000    0.022    0.000 core.py:171(to_gpu)
      621    0.002    0.000    0.002    0.000 std.py:188(__format__)
      625    0.002    0.000    0.003    0.000 std.py:108(release)
 1725/240    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
      621    0.002    0.000    0.002    0.000 board.py:138(reset)
        2    0.002    0.001    1.995    0.997 drl_rainbow.py:453(save)
     1241    0.002    0.000    0.005    0.000 std.py:288(format_interval)
     6046    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1246    0.002    0.000    0.072    0.000 utils.py:143(inner)
     1256    0.002    0.000    0.002    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      625    0.002    0.000    0.003    0.000 std.py:104(acquire)
     1146    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      350    0.002    0.000    0.007    0.000 artist.py:1046(update)
      716    0.002    0.000    0.004    0.000 ntpath.py:77(join)
       33    0.002    0.000    0.005    0.000 enum.py:179(__new__)
     1567    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
      413    0.002    0.000    0.003    0.000 __init__.py:1691(normalize_kwargs)
     5860    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
      622    0.002    0.000    0.122    0.000 std.py:348(print_status)
       67    0.002    0.000    0.002    0.000 tokenize.py:185(untokenize)
 1169/333    0.001    0.000    1.377    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      744    0.001    0.000    0.012    0.000 zipfile.py:736(read)
     1114    0.001    0.000    0.006    0.000 {built-in method builtins.any}
     2797    0.001    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       67    0.001    0.000    0.016    0.000 format.py:535(_filter_header)
      787    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
     1266    0.001    0.000    0.001    0.000 {method 'finditer' of 're.Pattern' objects}
     3951    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
       35    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
     6963    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     4761    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       84    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
   573/10    0.001    0.000    1.603    0.160 <frozen importlib._bootstrap_external>:877(exec_module)
